City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Suda,RU,59.1525,37.5582,10.4,85,90,4.47,snow
156,Comodoro Rivadavia,AR,-45.8667,-67.5,75.2,35,0,20.71,clear sky
157,East London,ZA,-33.0153,27.9116,69.8,94,0,2.3,clear sky
158,Palana,RU,59.1167,159.9667,-10.17,91,77,1.05,broken clouds
159,Zaragoza,ES,41.6561,-0.8773,55.0,82,90,5.75,overcast clouds
160,Labuan,MY,5.2767,115.2417,84.2,74,40,4.61,scattered clouds
161,Waren,DE,53.5167,12.6833,46.99,73,100,11.01,overcast clouds
162,Hay River,CA,60.8156,-115.7999,-2.2,78,100,3.44,overcast clouds
163,New Norfolk,AU,-42.7826,147.0587,72.0,51,98,5.01,overcast clouds
164,Kutum,SD,14.2,24.6667,46.49,50,72,9.19,broken clouds
165,Port Alfred,ZA,-33.5906,26.891,66.0,95,0,1.01,clear sky
166,Ngunguru,NZ,-35.6167,174.5,72.0,56,95,7.0,overcast clouds
167,Merauke,ID,-8.4667,140.3333,84.47,69,98,6.33,overcast clouds
168,Ixtapa,MX,20.7,-105.2,75.0,83,1,13.8,clear sky
169,Point Fortin,TT,10.1833,-61.6833,73.0,92,0,13.51,clear sky
170,Kodiak,US,57.79,-152.4072,42.8,81,90,16.11,mist
171,Malakal,SS,9.5334,31.6605,71.13,26,100,9.95,overcast clouds
172,Ostrovnoy,RU,68.0531,39.5131,0.43,91,99,8.46,overcast clouds
173,Berlevag,NO,70.8578,29.0864,21.09,93,100,21.85,light snow
174,Baykit,RU,61.67,96.37,-40.05,74,91,4.45,overcast clouds
175,Santa Rosalia,MX,27.3167,-112.2833,57.7,82,0,1.81,clear sky
176,Whyalla,AU,-33.0333,137.5833,89.6,20,0,17.27,clear sky
177,Provideniya,RU,64.3833,-173.3,26.6,93,90,26.84,snow
178,Kahului,US,20.8947,-156.47,73.4,73,40,20.71,light rain
179,Torbay,CA,47.6666,-52.7314,32.0,93,90,24.16,snow
180,Westerland,DE,54.9079,8.3033,39.99,93,90,8.05,overcast clouds
181,Shu,KZ,43.5983,73.7614,28.99,79,100,5.99,light snow
182,San Miguel,SV,13.4833,-88.1833,77.99,52,0,1.86,clear sky
183,Bambous Virieux,MU,-20.3428,57.7575,82.99,74,20,9.22,few clouds
184,Carballo,ES,43.213,-8.691,46.99,93,100,5.99,light rain
185,Vila Velha,BR,-20.3297,-40.2925,75.99,88,20,2.3,light rain
186,Labuhan,ID,-6.8844,112.2051,82.69,79,93,9.35,overcast clouds
187,Chegdomyn,RU,51.1167,133.0167,-12.91,82,36,1.21,scattered clouds
188,Nome,US,64.5011,-165.4064,28.4,86,40,9.22,scattered clouds
189,Vardo,NO,70.3705,31.1107,23.0,95,100,26.78,snow
190,Christchurch,NZ,-43.5333,172.6333,66.99,59,74,19.57,broken clouds
191,Cockburn Town,TC,21.4612,-71.1419,75.38,81,65,17.13,broken clouds
192,Marzuq,YE,14.4,46.4667,52.03,41,55,4.56,broken clouds
193,Clyde River,CA,70.4692,-68.5914,-2.2,84,1,4.61,clear sky
194,Kavaratti,IN,10.5669,72.642,81.82,71,47,10.54,scattered clouds
195,Tateyama,JP,34.9833,139.8667,60.8,63,20,5.75,few clouds
196,Bam,IR,29.106,58.357,36.52,69,22,12.88,few clouds
197,Shelburne,CA,44.0787,-80.2041,34.0,94,60,15.68,broken clouds
198,Zambezi,ZM,-13.5432,23.1047,63.54,97,100,3.58,moderate rain
199,Pangnirtung,CA,66.1451,-65.7125,23.61,79,98,7.27,overcast clouds
200,Saint-Medard-En-Jalles,FR,44.8969,-0.7214,50.0,87,0,9.22,clear sky
201,San Rafael,AR,-34.6177,-68.3301,81.52,18,0,10.09,clear sky
202,Bengkulu,ID,-3.8004,102.2655,83.61,65,98,7.76,overcast clouds
203,Bagepalli,IN,13.7847,77.7931,69.8,100,40,6.91,mist
204,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,0,4.61,clear sky
205,Vila Franca Do Campo,PT,37.7167,-25.4333,54.0,94,20,2.3,few clouds
206,Aranjuez,ES,40.0311,-3.6025,52.0,87,100,19.98,overcast clouds
207,Moyale,KE,3.5167,39.0584,68.92,68,100,5.86,overcast clouds
